,city,date,weather
0,"Chicago, United States of America",2018-01-01,Clear
1,"Chicago, United States of America",2018-01-02,Clear
2,"Chicago, United States of America",2018-01-03,Clear
3,"Chicago, United States of America",2018-01-04,Partly cloudy
4,"Chicago, United States of America",2018-01-05,Clear
5,"Chicago, United States of America",2018-01-06,Clear
6,"Chicago, United States of America",2018-01-07,Overcast
7,"Chicago, United States of America",2018-01-08,Overcast
8,"Chicago, United States of America",2018-01-09,Cloudy
9,"Chicago, United States of America",2018-01-10,Overcast
10,"Chicago, United States of America",2018-01-11,Overcast
11,"Chicago, United States of America",2018-01-12,Overcast
12,"Chicago, United States of America",2018-01-13,Partly cloudy
13,"Chicago, United States of America",2018-01-14,Clear
14,"Chicago, United States of America",2018-01-15,Overcast
15,"Chicago, United States of America",2018-01-16,Overcast
16,"Chicago, United States of America",2018-01-17,Clear
17,"Chicago, United States of America",2018-01-18,Clear
18,"Chicago, United States of America",2018-01-19,Clear
19,"Chicago, United States of America",2018-01-20,Clear
20,"Chicago, United States of America",2018-01-21,Fog
21,"Chicago, United States of America",2018-01-22,Overcast
22,"Chicago, United States of America",2018-01-23,Clear
23,"Chicago, United States of America",2018-01-24,Cloudy
24,"Chicago, United States of America",2018-01-25,Partly cloudy
25,"Chicago, United States of America",2018-01-26,Partly cloudy
26,"Chicago, United States of America",2018-01-27,Cloudy
27,"Chicago, United States of America",2018-01-28,Clear
28,"Chicago, United States of America",2018-01-29,Overcast
29,"Chicago, United States of America",2018-01-30,Clear
30,"Chicago, United States of America",2018-01-31,Overcast
0,"Chicago, United States of America",2018-02-01,Partly cloudy
1,"Chicago, United States of America",2018-02-02,Clear
2,"Chicago, United States of America",2018-02-03,Overcast
3,"Chicago, United States of America",2018-02-04,Overcast
4,"Chicago, United States of America",2018-02-05,Clear
5,"Chicago, United States of America",2018-02-06,Overcast
6,"Chicago, United States of America",2018-02-07,Mist
7,"Chicago, United States of America",2018-02-08,Overcast
8,"Chicago, United States of America",2018-02-09,Mist
9,"Chicago, United States of America",2018-02-10,Overcast
10,"Chicago, United States of America",2018-02-11,Mist
11,"Chicago, United States of America",2018-02-12,Clear
12,"Chicago, United States of America",2018-02-13,Overcast
13,"Chicago, United States of America",2018-02-14,Clear
14,"Chicago, United States of America",2018-02-15,Overcast
15,"Chicago, United States of America",2018-02-16,Clear
16,"Chicago, United States of America",2018-02-17,Cloudy
17,"Chicago, United States of America",2018-02-18,Clear
18,"Chicago, United States of America",2018-02-19,Partly cloudy
19,"Chicago, United States of America",2018-02-20,Overcast
20,"Chicago, United States of America",2018-02-21,Overcast
21,"Chicago, United States of America",2018-02-22,Clear
22,"Chicago, United States of America",2018-02-23,Overcast
23,"Chicago, United States of America",2018-02-24,Cloudy
24,"Chicago, United States of America",2018-02-25,Moderate rain
25,"Chicago, United States of America",2018-02-26,Clear
26,"Chicago, United States of America",2018-02-27,Clear
27,"Chicago, United States of America",2018-02-28,Clear
0,"Chicago, United States of America",2018-03-01,Thundery outbreaks possible
1,"Chicago, United States of America",2018-03-02,Clear
2,"Chicago, United States of America",2018-03-03,Clear
3,"Chicago, United States of America",2018-03-04,Clear
4,"Chicago, United States of America",2018-03-05,Clear
5,"Chicago, United States of America",2018-03-06,Overcast
6,"Chicago, United States of America",2018-03-07,Overcast
7,"Chicago, United States of America",2018-03-08,Overcast
8,"Chicago, United States of America",2018-03-09,Cloudy
9,"Chicago, United States of America",2018-03-10,Clear
10,"Chicago, United States of America",2018-03-11,Partly cloudy
11,"Chicago, United States of America",2018-03-12,Overcast
12,"Chicago, United States of America",2018-03-13,Partly cloudy
13,"Chicago, United States of America",2018-03-14,Clear
14,"Chicago, United States of America",2018-03-15,Clear
15,"Chicago, United States of America",2018-03-16,Clear
16,"Chicago, United States of America",2018-03-17,Cloudy
17,"Chicago, United States of America",2018-03-18,Clear
