,city,date,weather
0,"Atlanta, United States of America",2018-01-01,Partly cloudy
1,"Atlanta, United States of America",2018-01-02,Clear
2,"Atlanta, United States of America",2018-01-03,Overcast
3,"Atlanta, United States of America",2018-01-04,Clear
4,"Atlanta, United States of America",2018-01-05,Clear
5,"Atlanta, United States of America",2018-01-06,Clear
6,"Atlanta, United States of America",2018-01-07,Clear
7,"Atlanta, United States of America",2018-01-08,Partly cloudy
8,"Atlanta, United States of America",2018-01-09,Fog
9,"Atlanta, United States of America",2018-01-10,Mist
10,"Atlanta, United States of America",2018-01-11,Overcast
11,"Atlanta, United States of America",2018-01-12,Fog
12,"Atlanta, United States of America",2018-01-13,Overcast
13,"Atlanta, United States of America",2018-01-14,Clear
14,"Atlanta, United States of America",2018-01-15,Partly cloudy
15,"Atlanta, United States of America",2018-01-16,Clear
16,"Atlanta, United States of America",2018-01-17,Overcast
17,"Atlanta, United States of America",2018-01-18,Clear
18,"Atlanta, United States of America",2018-01-19,Clear
19,"Atlanta, United States of America",2018-01-20,Clear
20,"Atlanta, United States of America",2018-01-21,Clear
21,"Atlanta, United States of America",2018-01-22,Clear
22,"Atlanta, United States of America",2018-01-23,Mist
23,"Atlanta, United States of America",2018-01-24,Clear
24,"Atlanta, United States of America",2018-01-25,Clear
25,"Atlanta, United States of America",2018-01-26,Clear
26,"Atlanta, United States of America",2018-01-27,Overcast
27,"Atlanta, United States of America",2018-01-28,Fog
28,"Atlanta, United States of America",2018-01-29,Fog
29,"Atlanta, United States of America",2018-01-30,Partly cloudy
30,"Atlanta, United States of America",2018-01-31,Clear
0,"Atlanta, United States of America",2018-02-01,Clear
1,"Atlanta, United States of America",2018-02-02,Overcast
2,"Atlanta, United States of America",2018-02-03,Overcast
3,"Atlanta, United States of America",2018-02-04,Overcast
4,"Atlanta, United States of America",2018-02-05,Clear
5,"Atlanta, United States of America",2018-02-06,Clear
6,"Atlanta, United States of America",2018-02-07,Mist
7,"Atlanta, United States of America",2018-02-08,Clear
8,"Atlanta, United States of America",2018-02-09,Clear
9,"Atlanta, United States of America",2018-02-10,Mist
10,"Atlanta, United States of America",2018-02-11,Fog
11,"Atlanta, United States of America",2018-02-12,Mist
12,"Atlanta, United States of America",2018-02-13,Overcast
13,"Atlanta, United States of America",2018-02-14,Partly cloudy
14,"Atlanta, United States of America",2018-02-15,Fog
15,"Atlanta, United States of America",2018-02-16,Mist
16,"Atlanta, United States of America",2018-02-17,Cloudy
17,"Atlanta, United States of America",2018-02-18,Overcast
18,"Atlanta, United States of America",2018-02-19,Overcast
19,"Atlanta, United States of America",2018-02-20,Mist
20,"Atlanta, United States of America",2018-02-21,Partly cloudy
21,"Atlanta, United States of America",2018-02-22,Clear
22,"Atlanta, United States of America",2018-02-23,Clear
23,"Atlanta, United States of America",2018-02-24,Cloudy
24,"Atlanta, United States of America",2018-02-25,Clear
25,"Atlanta, United States of America",2018-02-26,Partly cloudy
26,"Atlanta, United States of America",2018-02-27,Clear
27,"Atlanta, United States of America",2018-02-28,Cloudy
0,"Atlanta, United States of America",2018-03-01,Mist
1,"Atlanta, United States of America",2018-03-02,Clear
2,"Atlanta, United States of America",2018-03-03,Clear
3,"Atlanta, United States of America",2018-03-04,Clear
4,"Atlanta, United States of America",2018-03-05,Clear
5,"Atlanta, United States of America",2018-03-06,Overcast
6,"Atlanta, United States of America",2018-03-07,Clear
7,"Atlanta, United States of America",2018-03-08,Clear
8,"Atlanta, United States of America",2018-03-09,Clear
9,"Atlanta, United States of America",2018-03-10,Clear
10,"Atlanta, United States of America",2018-03-11,Overcast
11,"Atlanta, United States of America",2018-03-12,Mist
12,"Atlanta, United States of America",2018-03-13,Clear
13,"Atlanta, United States of America",2018-03-14,Clear
14,"Atlanta, United States of America",2018-03-15,Clear
15,"Atlanta, United States of America",2018-03-16,Clear
16,"Atlanta, United States of America",2018-03-17,Partly cloudy
17,"Atlanta, United States of America",2018-03-18,Clear
18,"Atlanta, United States of America",2018-03-19,Overcast
19,"Atlanta, United States of America",2018-03-20,Mist
20,"Atlanta, United States of America",2018-03-21,Overcast
21,"Atlanta, United States of America",2018-03-22,Clear
22,"Atlanta, United States of America",2018-03-23,Clear
23,"Atlanta, United States of America",2018-03-24,Partly cloudy
24,"Atlanta, United States of America",2018-03-25,Overcast
25,"Atlanta, United States of America",2018-03-26,Overcast
26,"Atlanta, United States of America",2018-03-27,Overcast
27,"Atlanta, United States of America",2018-03-28,Overcast
28,"Atlanta, United States of America",2018-03-29,Clear
29,"Atlanta, United States of America",2018-03-30,Partly cloudy
30,"Atlanta, United States of America",2018-03-31,Clear
0,"Atlanta, United States of America",2018-04-01,Clear
1,"Atlanta, United States of America",2018-04-02,Partly cloudy
2,"Atlanta, United States of America",2018-04-03,Clear
3,"Atlanta, United States of America",2018-04-04,Thundery outbreaks possible
4,"Atlanta, United States of America",2018-04-05,Clear
5,"Atlanta, United States of America",2018-04-06,Clear
6,"Atlanta, United States of America",2018-04-07,Overcast
7,"Atlanta, United States of America",2018-04-08,Clear
8,"Atlanta, United States of America",2018-04-09,Partly cloudy
9,"Atlanta, United States of America",2018-04-10,Overcast
10,"Atlanta, United States of America",2018-04-11,Clear
11,"Atlanta, United States of America",2018-04-12,Clear
12,"Atlanta, United States of America",2018-04-13,Clear
13,"Atlanta, United States of America",2018-04-14,Cloudy
14,"Atlanta, United States of America",2018-04-15,Partly cloudy
15,"Atlanta, United States of America",2018-04-16,Overcast
16,"Atlanta, United States of America",2018-04-17,Clear
17,"Atlanta, United States of America",2018-04-18,Partly cloudy
18,"Atlanta, United States of America",2018-04-19,Partly cloudy
19,"Atlanta, United States of America",2018-04-20,Clear
20,"Atlanta, United States of America",2018-04-21,Clear
21,"Atlanta, United States of America",2018-04-22,Overcast
22,"Atlanta, United States of America",2018-04-23,Overcast
23,"Atlanta, United States of America",2018-04-24,Cloudy
24,"Atlanta, United States of America",2018-04-25,Partly cloudy
25,"Atlanta, United States of America",2018-04-26,Clear
26,"Atlanta, United States of America",2018-04-27,Partly cloudy
27,"Atlanta, United States of America",2018-04-28,Clear
28,"Atlanta, United States of America",2018-04-29,Clear
29,"Atlanta, United States of America",2018-04-30,Clear
0,"Atlanta, United States of America",2018-05-01,Clear
1,"Atlanta, United States of America",2018-05-02,Clear
2,"Atlanta, United States of America",2018-05-03,Clear
3,"Atlanta, United States of America",2018-05-04,Clear
4,"Atlanta, United States of America",2018-05-05,Overcast
5,"Atlanta, United States of America",2018-05-06,Clear
6,"Atlanta, United States of America",2018-05-07,Clear
7,"Atlanta, United States of America",2018-05-08,Clear
8,"Atlanta, United States of America",2018-05-09,Partly cloudy
9,"Atlanta, United States of America",2018-05-10,Clear
10,"Atlanta, United States of America",2018-05-11,Clear
11,"Atlanta, United States of America",2018-05-12,Clear
12,"Atlanta, United States of America",2018-05-13,Clear
