,city,date,weather
0,"Dallas, United States of America",2018-01-01,Partly cloudy
1,"Dallas, United States of America",2018-01-02,Clear
2,"Dallas, United States of America",2018-01-03,Clear
3,"Dallas, United States of America",2018-01-04,Clear
4,"Dallas, United States of America",2018-01-05,Overcast
5,"Dallas, United States of America",2018-01-06,Clear
6,"Dallas, United States of America",2018-01-07,Partly cloudy
7,"Dallas, United States of America",2018-01-08,Partly cloudy
8,"Dallas, United States of America",2018-01-09,Clear
9,"Dallas, United States of America",2018-01-10,Cloudy
10,"Dallas, United States of America",2018-01-11,Overcast
11,"Dallas, United States of America",2018-01-12,Clear
12,"Dallas, United States of America",2018-01-13,Clear
13,"Dallas, United States of America",2018-01-14,Clear
14,"Dallas, United States of America",2018-01-15,Clear
15,"Dallas, United States of America",2018-01-16,Overcast
16,"Dallas, United States of America",2018-01-17,Clear
17,"Dallas, United States of America",2018-01-18,Clear
18,"Dallas, United States of America",2018-01-19,Clear
19,"Dallas, United States of America",2018-01-20,Overcast
20,"Dallas, United States of America",2018-01-21,Overcast
21,"Dallas, United States of America",2018-01-22,Clear
22,"Dallas, United States of America",2018-01-23,Clear
23,"Dallas, United States of America",2018-01-24,Clear
24,"Dallas, United States of America",2018-01-25,Clear
25,"Dallas, United States of America",2018-01-26,Overcast
26,"Dallas, United States of America",2018-01-27,Mist
27,"Dallas, United States of America",2018-01-28,Clear
28,"Dallas, United States of America",2018-01-29,Clear
29,"Dallas, United States of America",2018-01-30,Clear
30,"Dallas, United States of America",2018-01-31,Clear
0,"Dallas, United States of America",2018-02-01,Clear
1,"Dallas, United States of America",2018-02-02,Clear
2,"Dallas, United States of America",2018-02-03,Clear
3,"Dallas, United States of America",2018-02-04,Mist
4,"Dallas, United States of America",2018-02-05,Clear
5,"Dallas, United States of America",2018-02-06,Clear
6,"Dallas, United States of America",2018-02-07,Cloudy
7,"Dallas, United States of America",2018-02-08,Clear
8,"Dallas, United States of America",2018-02-09,Clear
9,"Dallas, United States of America",2018-02-10,Mist
10,"Dallas, United States of America",2018-02-11,Clear
11,"Dallas, United States of America",2018-02-12,Partly cloudy
12,"Dallas, United States of America",2018-02-13,Partly cloudy
13,"Dallas, United States of America",2018-02-14,Overcast
14,"Dallas, United States of America",2018-02-15,Partly cloudy
15,"Dallas, United States of America",2018-02-16,Cloudy
16,"Dallas, United States of America",2018-02-17,Cloudy
17,"Dallas, United States of America",2018-02-18,Overcast
18,"Dallas, United States of America",2018-02-19,Partly cloudy
19,"Dallas, United States of America",2018-02-20,Thundery outbreaks possible
20,"Dallas, United States of America",2018-02-21,Overcast
21,"Dallas, United States of America",2018-02-22,Cloudy
22,"Dallas, United States of America",2018-02-23,Thundery outbreaks possible
23,"Dallas, United States of America",2018-02-24,Overcast
24,"Dallas, United States of America",2018-02-25,Clear
25,"Dallas, United States of America",2018-02-26,Clear
26,"Dallas, United States of America",2018-02-27,Clear
27,"Dallas, United States of America",2018-02-28,Partly cloudy
0,"Dallas, United States of America",2018-03-01,Cloudy
1,"Dallas, United States of America",2018-03-02,Clear
2,"Dallas, United States of America",2018-03-03,Clear
3,"Dallas, United States of America",2018-03-04,Overcast
4,"Dallas, United States of America",2018-03-05,Overcast
5,"Dallas, United States of America",2018-03-06,Clear
6,"Dallas, United States of America",2018-03-07,Partly cloudy
7,"Dallas, United States of America",2018-03-08,Partly cloudy
8,"Dallas, United States of America",2018-03-09,Clear
9,"Dallas, United States of America",2018-03-10,Overcast
10,"Dallas, United States of America",2018-03-11,Partly cloudy
11,"Dallas, United States of America",2018-03-12,Clear
12,"Dallas, United States of America",2018-03-13,Clear
13,"Dallas, United States of America",2018-03-14,Clear
14,"Dallas, United States of America",2018-03-15,Clear
15,"Dallas, United States of America",2018-03-16,Overcast
16,"Dallas, United States of America",2018-03-17,Partly cloudy
17,"Dallas, United States of America",2018-03-18,Partly cloudy
18,"Dallas, United States of America",2018-03-19,Clear
19,"Dallas, United States of America",2018-03-20,Clear
20,"Dallas, United States of America",2018-03-21,Partly cloudy
21,"Dallas, United States of America",2018-03-22,Clear
22,"Dallas, United States of America",2018-03-23,Clear
23,"Dallas, United States of America",2018-03-24,Cloudy
24,"Dallas, United States of America",2018-03-25,Clear
25,"Dallas, United States of America",2018-03-26,Partly cloudy
26,"Dallas, United States of America",2018-03-27,Overcast
27,"Dallas, United States of America",2018-03-28,Overcast
28,"Dallas, United States of America",2018-03-29,Partly cloudy
29,"Dallas, United States of America",2018-03-30,Clear
30,"Dallas, United States of America",2018-03-31,Clear
0,"Dallas, United States of America",2018-04-01,Clear
1,"Dallas, United States of America",2018-04-02,Overcast
2,"Dallas, United States of America",2018-04-03,Partly cloudy
3,"Dallas, United States of America",2018-04-04,Clear
