,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
23,2018,1,MQ,Envoy Air,DFW,4491.0,152.0,48316.0,11983.0,7471.0, Dallas/Fort Worth International,Dallas
993,2018,1,AA,American Airlines Inc.,DEN,881.0,5.0,6502.0,2164.0,219.0, Denver International,"Denver, CO"
994,2018,1,AA,American Airlines Inc.,DFW,11495.0,126.0,98510.0,37673.0,6868.0, Dallas/Fort Worth International,Dallas
1017,2018,1,AA,American Airlines Inc.,LAX,3153.0,41.0,25934.0,13320.0,1494.0, Los Angeles International,"Los Angeles, CA"
1036,2018,1,AA,American Airlines Inc.,ORD,5203.0,85.0,44973.0,15678.0,1447.0, Chicago O'Hare International,"Chicago, IL"
1074,2018,1,AS,Alaska Airlines Inc.,ATL,36.0,0.0,39.0,0.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1087,2018,1,AS,Alaska Airlines Inc.,DEN,124.0,0.0,1004.0,338.0,0.0, Denver International,"Denver, CO"
1088,2018,1,AS,Alaska Airlines Inc.,DFW,100.0,0.0,133.0,60.0,0.0, Dallas/Fort Worth International,Dallas
1103,2018,1,AS,Alaska Airlines Inc.,LAX,702.0,2.0,2480.0,1042.0,95.0, Los Angeles International,"Los Angeles, CA"
1114,2018,1,AS,Alaska Airlines Inc.,ORD,156.0,1.0,620.0,167.0,0.0, Chicago O'Hare International,"Chicago, IL"
1140,2018,1,B6,JetBlue Airways,ATL,147.0,8.0,2381.0,1283.0,85.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1155,2018,1,B6,JetBlue Airways,DEN,89.0,6.0,932.0,247.0,28.0, Denver International,"Denver, CO"
1156,2018,1,B6,JetBlue Airways,DFW,51.0,4.0,1144.0,544.0,0.0, Dallas/Fort Worth International,Dallas
1166,2018,1,B6,JetBlue Airways,LAX,529.0,16.0,6923.0,3281.0,536.0, Los Angeles International,"Los Angeles, CA"
1207,2018,1,DL,Delta Air Lines Inc.,ATL,19038.0,462.0,240743.0,65783.0,28294.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
977,2018,1,AA,American Airlines Inc.,ATL,956.0,28.0,8794.0,3851.0,396.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1240,2018,1,DL,Delta Air Lines Inc.,DEN,778.0,9.0,6856.0,1614.0,1340.0, Denver International,"Denver, CO"
1279,2018,1,DL,Delta Air Lines Inc.,LAX,2455.0,22.0,21413.0,8147.0,4363.0, Los Angeles International,"Los Angeles, CA"
1306,2018,1,DL,Delta Air Lines Inc.,ORD,547.0,9.0,5124.0,1018.0,969.0, Chicago O'Hare International,"Chicago, IL"
1354,2018,1,EV,ExpressJet Airlines Inc.,ATL,905.0,39.0,17115.0,5573.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1386,2018,1,EV,ExpressJet Airlines Inc.,DFW,930.0,31.0,11875.0,7143.0,0.0, Dallas/Fort Worth International,Dallas
1443,2018,1,EV,ExpressJet Airlines Inc.,ORD,912.0,19.0,18107.0,4344.0,1395.0, Chicago O'Hare International,"Chicago, IL"
1474,2018,1,F9,Frontier Airlines Inc.,ATL,272.0,5.0,4155.0,1445.0,30.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1485,2018,1,F9,Frontier Airlines Inc.,DEN,1607.0,30.0,22245.0,7102.0,146.0, Denver International,"Denver, CO"
1486,2018,1,F9,Frontier Airlines Inc.,DFW,40.0,2.0,389.0,151.0,0.0, Dallas/Fort Worth International,Dallas
1495,2018,1,F9,Frontier Airlines Inc.,LAX,124.0,1.0,1512.0,371.0,44.0, Los Angeles International,"Los Angeles, CA"
1508,2018,1,F9,Frontier Airlines Inc.,ORD,217.0,3.0,4181.0,537.0,0.0, Chicago O'Hare International,"Chicago, IL"
1555,2018,1,G4,Allegiant Air,DEN,8.0,0.0,178.0,0.0,141.0, Denver International,"Denver, CO"
1585,2018,1,G4,Allegiant Air,LAX,109.0,2.0,1968.0,170.0,87.0, Los Angeles International,"Los Angeles, CA"
1654,2018,1,HA,Hawaiian Airlines Inc.,LAX,162.0,0.0,2373.0,2135.0,0.0, Los Angeles International,"Los Angeles, CA"
1673,2018,1,MQ,Envoy Air,ATL,56.0,4.0,224.0,36.0,35.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
1241,2018,1,DL,Delta Air Lines Inc.,DFW,510.0,7.0,3723.0,966.0,779.0, Dallas/Fort Worth International,Dallas
947,2018,1,9E,Endeavor Air Inc.,ORD,167.0,11.0,1412.0,601.0,0.0, Chicago O'Hare International,"Chicago, IL"
1172,2018,1,B6,JetBlue Airways,ORD,171.0,10.0,4477.0,1953.0,287.0, Chicago O'Hare International,"Chicago, IL"
893,2018,1,9E,Endeavor Air Inc.,DEN,3.0,0.0,0.0,0.0,0.0, Denver International,"Denver, CO"
466,2018,1,UA,United Air Lines Inc.,ATL,434.0,13.0,3962.0,1221.0,372.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
400,2018,1,OO,SkyWest Airlines Inc.,ORD,5925.0,208.0,167233.0,48990.0,4837.0, Chicago O'Hare International,"Chicago, IL"
363,2018,1,OO,SkyWest Airlines Inc.,LAX,2946.0,37.0,34504.0,11110.0,332.0, Los Angeles International,"Los Angeles, CA"
307,2018,1,OO,SkyWest Airlines Inc.,DFW,463.0,12.0,6542.0,2410.0,190.0, Dallas/Fort Worth International,Dallas
306,2018,1,OO,SkyWest Airlines Inc.,DEN,3890.0,71.0,56616.0,21319.0,3096.0, Denver International,"Denver, CO"
255,2018,1,OO,SkyWest Airlines Inc.,ATL,2115.0,63.0,62234.0,17773.0,4214.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
487,2018,1,UA,United Air Lines Inc.,DEN,4695.0,37.0,30186.0,7974.0,2873.0, Denver International,"Denver, CO"
219,2018,1,OH,PSA Airlines Inc.,ORD,181.0,5.0,4522.0,1498.0,33.0, Chicago O'Hare International,"Chicago, IL"
138,2018,1,NK,Spirit Air Lines,ORD,774.0,10.0,6505.0,964.0,123.0, Chicago O'Hare International,"Chicago, IL"
129,2018,1,NK,Spirit Air Lines,LAX,682.0,7.0,4683.0,1920.0,84.0, Los Angeles International,"Los Angeles, CA"
122,2018,1,NK,Spirit Air Lines,DFW,608.0,6.0,5490.0,2085.0,15.0, Dallas/Fort Worth International,Dallas
121,2018,1,NK,Spirit Air Lines,DEN,258.0,2.0,3064.0,441.0,120.0, Denver International,"Denver, CO"
114,2018,1,NK,Spirit Air Lines,ATL,629.0,10.0,6276.0,2009.0,135.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
894,2018,1,9E,Endeavor Air Inc.,DFW,225.0,5.0,1751.0,854.0,32.0, Dallas/Fort Worth International,Dallas
154,2018,1,OH,PSA Airlines Inc.,ATL,68.0,3.0,470.0,228.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
488,2018,1,UA,United Air Lines Inc.,DFW,502.0,8.0,4467.0,1331.0,465.0, Dallas/Fort Worth International,Dallas
81,2018,1,MQ,Envoy Air,ORD,4704.0,166.0,69063.0,18761.0,5530.0, Chicago O'Hare International,"Chicago, IL"
778,2018,1,YX,Republic Airline,ATL,409.0,25.0,2989.0,677.0,44.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
862,2018,1,9E,Endeavor Air Inc.,ATL,1834.0,66.0,35797.0,11229.0,3408.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
